,concept.id,relationship.source-name,relationship.target-namespace,relationship.preferred-label,relationship.tree-depth,relationship.tree-sequence,relationship.target-name,fact.value,concept.is-base,concept.local-name,dimensions.count,period.fiscal-year,period.fiscal-period,dimension.local-name,member.local-name
46,44132687,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,3,16,OtherNonoperatingIncomeExpense,1222000000,True,OtherNonoperatingIncomeExpense,0.0,2024.0,Y,,
47,44132687,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,3,16,OtherNonoperatingIncomeExpense,1227000000,True,OtherNonoperatingIncomeExpense,0.0,2023.0,Y,,
48,44132687,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,3,16,OtherNonoperatingIncomeExpense,1058000000,True,OtherNonoperatingIncomeExpense,0.0,2022.0,Y,,
28,44129982,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2009/role/negatedLabel,3,17,InterestAndDebtExpense,2725000000,True,InterestAndDebtExpense,0.0,2024.0,Y,,
29,44129982,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2009/role/negatedLabel,3,17,InterestAndDebtExpense,2459000000,True,InterestAndDebtExpense,0.0,2023.0,Y,,
30,44129982,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2009/role/negatedLabel,3,17,InterestAndDebtExpense,2561000000,True,InterestAndDebtExpense,0.0,2022.0,Y,,
19,44121773,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,18,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-12210000000,True,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0.0,2024.0,Y,,
20,44121773,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,18,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-2005000000,True,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0.0,2023.0,Y,,
21,44121773,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,18,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-5022000000,True,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,0.0,2022.0,Y,,
25,44139718,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2009/role/negatedLabel,3,19,IncomeTaxExpenseBenefit,-381000000,True,IncomeTaxExpenseBenefit,0.0,2024.0,Y,,
26,44139718,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2009/role/negatedLabel,3,19,IncomeTaxExpenseBenefit,237000000,True,IncomeTaxExpenseBenefit,0.0,2023.0,Y,,
27,44139718,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2009/role/negatedLabel,3,19,IncomeTaxExpenseBenefit,31000000,True,IncomeTaxExpenseBenefit,0.0,2022.0,Y,,
55,44133387,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,20,ProfitLoss,-11829000000,True,ProfitLoss,0.0,2024.0,Y,,
56,44133387,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,20,ProfitLoss,-2242000000,True,ProfitLoss,0.0,2023.0,Y,,
57,44133387,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/totalLabel,3,20,ProfitLoss,-5053000000,True,ProfitLoss,0.0,2022.0,Y,,
34,44133374,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,3,21,NetIncomeLossAttributableToNoncontrollingInterest,-12000000,True,NetIncomeLossAttributableToNoncontrollingInterest,0.0,2024.0,Y,,
35,44133374,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,3,21,NetIncomeLossAttributableToNoncontrollingInterest,-20000000,True,NetIncomeLossAttributableToNoncontrollingInterest,0.0,2023.0,Y,,
36,44133374,StatementLineItems,http://fasb.org/us-gaap/2024,http://www.xbrl.org/2003/role/terseLabel,3,21,NetIncomeLossAttributableToNoncontrollingInterest,-118000000,True,NetIncomeLossAttributableToNoncontrollingInterest,0.0,2022.0,Y,,
